Specificity,Sensitivity,Threshold,Model,Outcome,FPR,Model_Type
0.1408906882591093,0.991869918699187,0.2013788446784019,Fundus,Glaucoma+Suspect vs Healthy,0.8591093117408907,Unimodal
0.1417004048582996,0.991869918699187,0.20156948268413538,Fundus,Glaucoma+Suspect vs Healthy,0.8582995951417004,Unimodal
0.14251012145748987,0.991869918699187,0.20178424566984174,Fundus,Glaucoma+Suspect vs Healthy,0.8574898785425101,Unimodal
0.14331983805668017,0.991869918699187,0.2019587457180023,Fundus,Glaucoma+Suspect vs Healthy,0.8566801619433199,Unimodal
0.14412955465587043,0.991869918699187,0.2020735368132591,Fundus,Glaucoma+Suspect vs Healthy,0.8558704453441296,Unimodal
0.14412955465587043,0.989159891598916,0.20215241611003876,Fundus,Glaucoma+Suspect vs Healthy,0.8558704453441296,Unimodal
0.14493927125506073,0.989159891598916,0.2023116499185562,Fundus,Glaucoma+Suspect vs Healthy,0.8550607287449392,Unimodal
0.145748987854251,0.989159891598916,0.20257819443941116,Fundus,Glaucoma+Suspect vs Healthy,0.854251012145749,Unimodal
0.1465587044534413,0.989159891598916,0.20286611467599863,Fundus,Glaucoma+Suspect vs Healthy,0.8534412955465587,Unimodal
0.14736842105263157,0.989159891598916,0.2029953077435493,Fundus,Glaucoma+Suspect vs Healthy,0.8526315789473684,Unimodal
0.14817813765182186,0.989159891598916,0.2030205279588699,Fundus,Glaucoma+Suspect vs Healthy,0.8518218623481781,Unimodal
0.14898785425101216,0.989159891598916,0.2031237557530403,Fundus,Glaucoma+Suspect vs Healthy,0.8510121457489879,Unimodal
0.14979757085020243,0.989159891598916,0.20323336124420166,Fundus,Glaucoma+Suspect vs Healthy,0.8502024291497976,Unimodal
0.15060728744939272,0.989159891598916,0.20349485427141184,Fundus,Glaucoma+Suspect vs Healthy,0.8493927125506073,Unimodal
0.151417004048583,0.989159891598916,0.20377957820892328,Fundus,Glaucoma+Suspect vs Healthy,0.8485829959514171,Unimodal
0.1522267206477733,0.989159891598916,0.2038709744811058,Fundus,Glaucoma+Suspect vs Healthy,0.8477732793522267,Unimodal
0.15384615384615385,0.989159891598916,0.20397599786520004,Fundus,Glaucoma+Suspect vs Healthy,0.8461538461538461,Unimodal
0.15465587044534412,0.989159891598916,0.2040906026959419,Fundus,Glaucoma+Suspect vs Healthy,0.8453441295546559,Unimodal
0.15546558704453442,0.989159891598916,0.20425370335578916,Fundus,Glaucoma+Suspect vs Healthy,0.8445344129554656,Unimodal
0.1562753036437247,0.989159891598916,0.20442220568656921,Fundus,Glaucoma+Suspect vs Healthy,0.8437246963562753,Unimodal
0.15708502024291499,0.989159891598916,0.20463021844625467,Fundus,Glaucoma+Suspect vs Healthy,0.842914979757085,Unimodal
0.15789473684210525,0.989159891598916,0.20483258366584772,Fundus,Glaucoma+Suspect vs Healthy,0.8421052631578947,Unimodal
0.15870445344129555,0.989159891598916,0.2049306184053421,Fundus,Glaucoma+Suspect vs Healthy,0.8412955465587044,Unimodal
0.16032388663967612,0.989159891598916,0.2051132023334503,Fundus,Glaucoma+Suspect vs Healthy,0.8396761133603239,Unimodal
0.16113360323886639,0.989159891598916,0.20542448014020914,Fundus,Glaucoma+Suspect vs Healthy,0.8388663967611336,Unimodal
0.16113360323886639,0.983739837398374,0.20564097911119456,Fundus,Glaucoma+Suspect vs Healthy,0.8388663967611336,Unimodal
0.16194331983805668,0.983739837398374,0.2057539969682693,Fundus,Glaucoma+Suspect vs Healthy,0.8380566801619433,Unimodal
0.16275303643724695,0.983739837398374,0.20591694861650467,Fundus,Glaucoma+Suspect vs Healthy,0.8372469635627531,Unimodal
0.16356275303643725,0.983739837398374,0.20644391328096384,Fundus,Glaucoma+Suspect vs Healthy,0.8364372469635628,Unimodal
0.16437246963562754,0.983739837398374,0.2069840654730796,Fundus,Glaucoma+Suspect vs Healthy,0.8356275303643724,Unimodal
