Domain,Model,Model_Type,Outcome,Threshold,Specificity,Sensitivity,FPR
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.1992102935910225,0.10739856801909307,0.9852941176470589,0.8926014319809069
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.1993543356657028,0.10859188544152745,0.9852941176470589,0.8914081145584726
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.1997479125857353,0.10978520286396182,0.9852941176470589,0.8902147971360381
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.20029930770397186,0.11217183770883055,0.9852941176470589,0.8878281622911695
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2006757631897926,0.11336515513126491,0.9852941176470589,0.8866348448687351
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2010049074888229,0.11455847255369929,0.9852941176470589,0.8854415274463007
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.20127820223569864,0.11575178997613365,0.9852941176470589,0.8842482100238663
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.20132006704807276,0.11694510739856802,0.9852941176470589,0.883054892601432
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2013788446784019,0.11813842482100238,0.9852941176470589,0.8818615751789977
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.20163507014513016,0.11933174224343675,0.9852941176470589,0.8806682577565632
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.20203762501478195,0.12052505966587113,0.9852941176470589,0.8794749403341289
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2023116499185562,0.12171837708830549,0.9852941176470589,0.8782816229116945
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.20257819443941116,0.12291169451073986,0.9852941176470589,0.8770883054892602
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.20286611467599863,0.12410501193317422,0.9852941176470589,0.8758949880668258
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2029953077435493,0.12529832935560858,0.9852941176470589,0.8747016706443914
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.20312011986970901,0.12649164677804295,0.9852941176470589,0.8735083532219571
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.20323336124420166,0.1276849642004773,0.9852941176470589,0.8723150357995226
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.20349485427141184,0.1288782816229117,0.9852941176470589,0.8711217183770883
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2038377299904823,0.13007159904534607,0.9852941176470589,0.869928400954654
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.20404373109340665,0.1324582338902148,0.9852941176470589,0.8675417661097852
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.20432683825492853,0.13365155131264916,0.9852941176470589,0.8663484486873508
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.20469770580530164,0.13484486873508353,0.9852941176470589,0.8651551312649165
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2049306184053421,0.1360381861575179,0.9852941176470589,0.863961813842482
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2051132023334503,0.13842482100238662,0.9852941176470589,0.8615751789976134
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.20542448014020914,0.13961813842482101,0.9852941176470589,0.860381861575179
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.20569673925638193,0.13961813842482101,0.9705882352941176,0.860381861575179
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2063367217779159,0.14081145584725538,0.9705882352941176,0.8591885441527446
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2069840654730796,0.14200477326968974,0.9705882352941176,0.8579952267303103
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2071473821997642,0.1431980906921241,0.9705882352941176,0.8568019093078759
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2072917968034744,0.14439140811455847,0.9705882352941176,0.8556085918854415
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.20751524716615677,0.1467780429594272,0.9705882352941176,0.8532219570405728
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2078334093093872,0.14797136038186157,0.9705882352941176,0.8520286396181385
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2080538123846054,0.14916467780429593,0.9705882352941176,0.8508353221957041
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2083291411399841,0.15035799522673032,0.9705882352941176,0.8496420047732697
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.20864313840866083,0.1515513126491647,0.9705882352941176,0.8484486873508353
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.20889648050069803,0.15274463007159905,0.9705882352941176,0.8472553699284009
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2093894630670547,0.15393794749403342,0.9705882352941176,0.8460620525059666
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.20988394320011133,0.15513126491646778,0.9705882352941176,0.8448687350835322
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.21024561673402786,0.15632458233890215,0.9705882352941176,0.8436754176610979
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2104434296488762,0.1575178997613365,0.9705882352941176,0.8424821002386635
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2105412110686302,0.15871121718377088,0.9705882352941176,0.8412887828162291
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.21090772002935404,0.15990453460620524,0.9705882352941176,0.8400954653937948
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.21134924143552775,0.1610978520286396,0.9705882352941176,0.8389021479713604
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2117182239890098,0.162291169451074,0.9705882352941176,0.837708830548926
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2119807675480842,0.16348448687350836,0.9705882352941176,0.8365155131264916
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2120309099555015,0.16467780429594273,0.9705882352941176,0.8353221957040573
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.21224990487098688,0.1658711217183771,0.9705882352941176,0.834128878281623
AL-SIGHT,Fundus,Unimodal,Glaucoma+Suspect vs Healthy,0.2126365005970001,0.16706443914081145,0.9705882352941176,0.8329355608591885
